date,x
2006/1/1,460
2006/2/1,370
2006/3/1,270
2006/4/1,230
2006/5/1,220
2006/6/1,270
2006/7/1,310
2006/8/1,380
2006/9/1,280
2006/10/1,250
2006/11/1,320
2006/12/1,410
2007/1/1,590
2007/2/1,510
2007/3/1,420
2007/4/1,330
2007/5/1,355
2007/6/1,390
2007/7/1,440
2007/8/1,488
2007/9/1,380
2007/10/1,366
2007/11/1,430
2007/12/1,530
2008/1/1,660
2008/2/1,565
2008/3/1,456
2008/4/1,340
2008/5/1,354
2008/6/1,380
2008/7/1,460
2008/8/1,520
2008/9/1,440
2008/10/1,430
2008/11/1,495
2008/12/1,622
2009/1/1,785
2009/2/1,660
2009/3/1,496
2009/4/1,410
2009/5/1,405
2009/6/1,415
2009/7/1,490
2009/8/1,560
2009/9/1,465
2009/10/1,470
2009/11/1,553
2009/12/1,680
2010/1/1,950
2010/2/1,790
2010/3/1,590
2010/4/1,523
2010/5/1,515
2010/6/1,520
2010/7/1,615
2010/8/1,670
2010/9/1,567
2010/10/1,573
2010/11/1,650
2010/12/1,848
2011/1/1,1002
2011/2/1,850
2011/3/1,670
2011/4/1,620
2011/5/1,610
2011/6/1,615
2011/7/1,712
2011/8/1,765
2011/9/1,658
2011/10/1,645
2011/11/1,772
2011/12/1,891
2012/1/1,1660
2012/2/1,1380
2012/3/1,1112
2012/4/1,1098
2012/5/1,1022
2012/6/1,1180
2012/7/1,1290
2012/8/1,1470
2012/9/1,1240
2012/10/1,1190
2012/11/1,1426
2012/12/1,1590
2013/1/1,1780
2013/2/1,1427
2013/3/1,1290
2013/4/1,1190
2013/5/1,1120
2013/6/1,1250
2013/7/1,1450
2013/8/1,1650
2013/9/1,1330
2013/10/1,1280
2013/11/1,1558
2013/12/1,1675
2014/1/1,1330
2014/2/1,1011
2014/3/1,812
2014/4/1,738
2014/5/1,749
2014/6/1,763
2014/7/1,860
2014/8/1,1270
2014/9/1,818
2014/10/1,802
2014/11/1,1009
2014/12/1,1286
2015/1/1,1180
2015/2/1,940
2015/3/1,728
2015/4/1,690
2015/5/1,685
2015/6/1,698
2015/7/1,786
2015/8/1,950
2015/9/1,708
2015/10/1,699
2015/11/1,798
2015/12/1,1110
2016/1/1,1090
2016/2/1,865
2016/3/1,676
2016/4/1,630
2016/5/1,620
2016/6/1,639
2016/7/1,710
2016/8/1,880
2016/9/1,660
2016/10/1,640
2016/11/1,708
2016/12/1,1021
